PlayerName,PlayerFieldGoals,PlayerPoints,EffectiveFieldGoalPercentage,PlayerPosition,PlayerAge,TeamRank,TeamName,TeamFieldGoals,TeamPoints,CoachName,CoachSeasonWin,CoachSeasonLose
"
Aaron Brooks",28,75,0.486,PG,33,"
8","Minnesota Timberwolves",3365,8980,"
Tom Thibodeau",47,35
"
Aaron Gordon",375,1022,0.5,PF,22,"
24","Orlando Magic",3182,8479,"
Frank Vogel",25,57
"
Aaron Harrison",19,60,0.341,SG,23,"
28","Dallas Mavericks",3128,8390,"
Rick Carlisle",24,58
"
Aaron Jackson",3,8,0.389,PG,31,"
2","Houston Rockets",3174,9213,"
Mike D'Antoni",65,17
"
Abdel Nader",50,146,0.413,SF,24,"
20","Boston Celtics",3141,8529,"
Brad Stevens",55,27
"
Adreian Payne",7,21,0.8,PF,26,"
24","Orlando Magic",3182,8479,"
Frank Vogel",25,57
"
Al Horford",368,927,0.553,C,31,"
20","Boston Celtics",3141,8529,"
Brad Stevens",55,27
"
Al Jefferson",111,252,0.534,C,33,"
17","Indiana Pacers",3345,8656,"
Nate McMillan",48,34
"
Al-Farouq Aminu",230,644,0.503,PF,27,"
16","Portland Trail Blazers",3222,8661,"
Terry Stotts",49,33
"
Alan Williams",7,NULL,6,PF,25,"
21","Phoenix Suns",3153,8522,"
Jay Triano",21,58
"
Alan Williams",7,NULL,6,PF,25,"
21","Phoenix Suns",3153,8522,"
Earl Watson",0,3
"
Alec Burks",170,494,0.467,SG,26,"
19","Utah Jazz",3139,8540,"
Quin Snyder",48,34
"
Alec Peters",28,82,0.5,PF,22,"
21","Phoenix Suns",3153,8522,"
Jay Triano",21,58
"
Alec Peters",28,82,0.5,PF,22,"
21","Phoenix Suns",3153,8522,"
Earl Watson",0,3
"
Alex Abrines",115,353,0.54,SG,24,"
12","Oklahoma City Thunder",3271,8844,"
Billy Donovan",48,34
"
Alex Caruso",50,134,0.487,PG,23,"
11","Los Angeles Lakers",3338,8862,"
Luke Walton",35,47
"
Alex Len",214,587,0.567,C,24,"
21","Phoenix Suns",3153,8522,"
Jay Triano",21,58
"
Alex Len",214,587,0.567,C,24,"
21","Phoenix Suns",3153,8522,"
Earl Watson",0,3
"
Alex Poythress",11,NULL,0.5,PF,24,"
17","Indiana Pacers",3345,8656,"
Nate McMillan",48,34
"
Alfonzo McKinnie",8,21,0.633,SF,25,"
4","Toronto Raptors",3383,9156,"
Dwane Casey",59,23
"
Allen Crabbe",337,990,0.529,SG,25,"
14","Brooklyn Nets",3136,8741,"
Kenny Atkinson",28,54
"
Amir Johnson",140,342,0.558,C,30,"
7","Philadelphia 76ers",3349,9004,"
Brett Brown",52,30
"
Andre Drummond",466,1171,0.529,C,24,"
22","Detroit Pistons",3208,8509,"
Stan Van Gundy",39,43
"
Andre Iguodala",148,384,0.514,SF,34,"
1","Golden State Warriors",3509,9304,"
Steve Kerr",58,24
"
Andre Ingram",8,24,0.618,SG,32,"
11","Los Angeles Lakers",3338,8862,"
Luke Walton",35,47
"
Andre Roberson",87,194,0.562,SG,26,"
12","Oklahoma City Thunder",3271,8844,"
Billy Donovan",48,34
"
Andrew Bogut",17,NULL,2,C,33,"
11","Los Angeles Lakers",3338,8862,"
Luke Walton",35,47
"
Andrew Harrison",181,533,0.477,PG,23,"
29","Memphis Grizzlies",3013,8145,"
J.B. Bickerstaff",15,48
"
Andrew Harrison",181,533,0.477,PG,23,"
29","Memphis Grizzlies",3013,8145,"
David Fizdale",7,12
"
Andrew White",25,69,0.466,SF,24,"
25","Atlanta Hawks",3130,8475,"
Mike Budenholzer",24,58
"
Andrew Wiggins",569,1452,0.481,SF,22,"
8","Minnesota Timberwolves",3365,8980,"
Tom Thibodeau",47,35
"
Ante Zizic",49,NULL,21,C,21,"
5","Cleveland Cavaliers",3311,9091,"
Tyronn Lue",50,32
"
Anthony Brown",1,NULL,0,SF,25,"
8","Minnesota Timberwolves",3365,8980,"
Tom Thibodeau",47,35
"
Anthony Davis",780,2110,0.552,PF,24,"
3","New Orleans Pelicans",3500,9161,"
Alvin Gentry",48,34
"
Anthony Tolliver",219,703,0.632,PF,32,"
22","Detroit Pistons",3208,8509,"
Stan Van Gundy",39,43
"
Antonio Blakeney",53,151,0.423,SG,21,"
26","Chicago Bulls",3170,8440,"
Fred Hoiberg",27,55
"
Antonius Cleveland",4,13,0.786,SG,23,"
25","Atlanta Hawks",3130,8475,"
Mike Budenholzer",24,58
"
Antonius Cleveland",4,10,0.286,SG,23,"
28","Dallas Mavericks",3128,8390,"
Rick Carlisle",24,58
"
Aron Baynes",210,482,0.474,C,31,"
20","Boston Celtics",3141,8529,"
Brad Stevens",55,27
"
Arron Afflalo",65,179,0.485,SG,32,"
24","Orlando Magic",3182,8479,"
Frank Vogel",25,57
"
Austin Rivers",341,920,0.508,SG,25,"
9","Los Angeles Clippers",3302,8937,"
Doc Rivers",42,40
"
Avery Bradley",233,601,0.474,SG,27,"
22","Detroit Pistons",3208,8509,"
Stan Van Gundy",39,43
"
Avery Bradley",26,55,0.482,SG,27,"
9","Los Angeles Clippers",3302,8937,"
Doc Rivers",42,40
"
Bam Adebayo",174,477,0.512,C,20,"
23","Miami Heat",3184,8480,"
Erik Spoelstra",44,38
"
Ben McLemore",157,422,0.495,SG,24,"
29","Memphis Grizzlies",3013,8145,"
J.B. Bickerstaff",15,48
"
Ben McLemore",157,422,0.495,SG,24,"
29","Memphis Grizzlies",3013,8145,"
David Fizdale",7,12
"
Ben Moore",0,NULL,1,PF,22,"
17","Indiana Pacers",3345,8656,"
Nate McMillan",48,34
"
Ben Simmons",544,1279,0.545,PG,21,"
7","Philadelphia 76ers",3349,9004,"
Brett Brown",52,30
"
Bismack Biyombo",183,468,0.52,C,25,"
24","Orlando Magic",3182,8479,"
Frank Vogel",25,57
"
Blake Griffin",181,496,0.489,PF,28,"
22","Detroit Pistons",3208,8509,"
Stan Van Gundy",39,43
"
Blake Griffin",255,746,0.497,PF,28,"
9","Los Angeles Clippers",3302,8937,"
Doc Rivers",42,40
"
Boban Marjanovic",41,NULL,36,C,29,"
22","Detroit Pistons",3208,8509,"
Stan Van Gundy",39,43
"
Boban Marjanovic",38,NULL,41,C,29,"
9","Los Angeles Clippers",3302,8937,"
Doc Rivers",42,40
"
Bobby Brown",19,50,0.422,PG,33,"
2","Houston Rockets",3174,9213,"
Mike D'Antoni",65,17
"
Bobby Portis",382,964,0.52,PF,22,"
26","Chicago Bulls",3170,8440,"
Fred Hoiberg",27,55
"
Bogdan Bogdanovic",344,917,0.529,SG,25,"
30","Sacramento Kings",3179,8104,"
Dave Joerger",27,55
"
Bojan Bogdanovic",404,1141,0.565,SF,28,"
17","Indiana Pacers",3345,8656,"
Nate McMillan",48,34
"
Bradley Beal",683,1857,0.527,SG,24,"
13","Washington Wizards",3275,8742,"
Scott Brooks",43,39
"
Brandan Wright",2,NULL,0,PF,30,"
2","Houston Rockets",3174,9213,"
Mike D'Antoni",65,17
"
Brandan Wright",57,NULL,21,PF,30,"
29","Memphis Grizzlies",3013,8145,"
J.B. Bickerstaff",15,48
"
Brandan Wright",57,NULL,21,PF,30,"
29","Memphis Grizzlies",3013,8145,"
David Fizdale",7,12
"
Brandon Ingram",358,949,0.497,SF,20,"
11","Los Angeles Lakers",3338,8862,"
Luke Walton",35,47
"
Brandon Jennings",27,73,0.438,PG,28,"
15","Milwaukee Bucks",3257,8731,"
Joe Prunty",21,16
"
Brandon Jennings",27,73,0.438,PG,28,"
15","Milwaukee Bucks",3257,8731,"
Jason Kidd",23,22
"
Brandon Paul",55,147,0.492,SG,26,"
27","San Antonio Spurs",3202,8424,"
Gregg Popovich",47,35
"
Briante Weber",9,26,0.5,PG,25,"
2","Houston Rockets",3174,9213,"
Mike D'Antoni",65,17
"
Briante Weber",10,24,0.476,PG,25,"
29","Memphis Grizzlies",3013,8145,"
J.B. Bickerstaff",15,48
"
Briante Weber",10,24,0.476,PG,25,"
29","Memphis Grizzlies",3013,8145,"
David Fizdale",7,12
"
Brice Johnson",7,16,0.636,PF,23,"
9","Los Angeles Clippers",3302,8937,"
Doc Rivers",42,40
"
Brice Johnson",13,NULL,1,PF,23,"
29","Memphis Grizzlies",3013,8145,"
J.B. Bickerstaff",15,48
"
Brice Johnson",13,NULL,1,PF,23,"
29","Memphis Grizzlies",3013,8145,"
David Fizdale",7,12
"
Brook Lopez",369,961,0.536,C,29,"
11","Los Angeles Lakers",3338,8862,"
Luke Walton",35,47
"
Bruno Caboclo",9,26,0.362,SF,22,"
30","Sacramento Kings",3179,8104,"
Dave Joerger",27,55
"
Bruno Caboclo",0,NULL,0,SF,22,"
4","Toronto Raptors",3383,9156,"
Dwane Casey",59,23
"
Bryn Forbes",209,555,0.51,SG,24,"
27","San Antonio Spurs",3202,8424,"
Gregg Popovich",47,35
"
Buddy Hield",416,1079,0.54,SG,25,"
30","Sacramento Kings",3179,8104,"
Dave Joerger",27,55
